
==============================================
   CO400 RAW PWM FRAME LOGGER v0.4.4-LED ACTIVE
==============================================

BURST led=18 horn=1

?t=4239 ms  Bits=63  FRAME: 0x55 0x42 0x95 0x2A 0x44 0x29 0x25 | STATE=NULL
?t=4773 ms  Bits=62  FRAME: 0x55 0x42 0x95 0x2A 0x44 0x29 0x25 | STATE=NULL
?t=4773 ms  Bits=62  FRAME: 0x55 0x42 0x95 0x2A 0x44 0x29 0x25 | STATE=NULL
?t=4771 ms  Bits=62  FRAME: 0x55 0x42 0x95 0x2A 0x44 0x29 0x25 | STATE=NULL
?t=4773 ms  Bits=63  FRAME: 0x55 0x42 0x95 0x2A 0x44 0x29 0x25 | STATE=NULL
?t=4772 ms  Bits=63  FRAME: 0x55 0x42 0x95 0x2A 0x44 0x29 0x25 | STATE=NULL
?t=4773 ms  Bits=63  FRAME: 0x55 0x42 0x95 0x2A 0x44 0x29 0x25 | STATE=NULL
?t=4773 ms  Bits=63  FRAME: 0x55 0x42 0x95 0x2A 0x44 0x29 0x25 | STATE=NULL
?t=4773 ms  Bits=63  FRAME: 0x55 0x42 0x95 0x2A 0x44 0x29 0x25 | STATE=NULL
?t=2528 ms  Bits=62  FRAME: 0x55 0x42 0xA1 0x0A 0x11 0x04 0x25 | STATE=NULL
?t=611 ms  Bits=64  FRAME: 0x55 0x42 0x41 0x15 0x22 0x08 0x4A 0x80 | STATE=NULL
BURST led=1 horn=0

?t=4777 ms  Bits=64  FRAME: 0x55 0x40 0x95 0x2A 0x88 0x02 0x4A 0x80 | STATE=NORMAL
?t=4778 ms  Bits=64  FRAME: 0x55 0x40 0x95 0x2A 0x88 0x02 0x4A 0x80 | STATE=NORMAL
?t=4777 ms  Bits=64  FRAME: 0x55 0x40 0x95 0x2A 0x88 0x02 0x4A 0x80 | STATE=NORMAL
?t=4778 ms  Bits=64  FRAME: 0x55 0x40 0x95 0x2A 0x88 0x02 0x4A 0x80 | STATE=NORMAL
?t=4775 ms  Bits=64  FRAME: 0x55 0x40 0x95 0x2A 0x88 0x02 0x4A 0x80 | STATE=NORMAL
?t=4772 ms  Bits=65  FRAME: 0x55 0x40 0x95 0x2A 0x88 0x12 0x94 0x00 | STATE=NORMAL
?t=4773 ms  Bits=65  FRAME: 0x55 0x40 0x95 0x2A 0x88 0x12 0x94 0x00 | STATE=NORMAL
?t=4772 ms  Bits=65  FRAME: 0x55 0x40 0x95 0x2A 0x88 0x12 0x94 0x00 | STATE=NORMAL
BURST led=1 horn=0

?t=5182 ms  Bits=65  FRAME: 0x55 0x40 0x95 0x2A 0x88 0x12 0x94 0x00 | STATE=NORMAL
?t=4772 ms  Bits=65  FRAME: 0x55 0x40 0x95 0x2A 0x88 0x12 0x94 0x00 | STATE=NORMAL
?t=4773 ms  Bits=65  FRAME: 0x55 0x40 0x95 0x2A 0x88 0x12 0x94 0x00 | STATE=NORMAL
?t=4772 ms  Bits=65  FRAME: 0x55 0x40 0x95 0x2A 0x88 0x12 0x94 0x00 | STATE=NORMAL
?t=4773 ms  Bits=64  FRAME: 0x55 0x40 0x95 0x2A 0x88 0x12 0x94 0x00 | STATE=NORMAL
?t=4771 ms  Bits=65  FRAME: 0x55 0x40 0x95 0x2A 0x88 0x12 0x94 0x00 | STATE=NORMAL
?t=4772 ms  Bits=65  FRAME: 0x55 0x40 0x95 0x2A 0x88 0x12 0x94 0x00 | STATE=NORMAL
?t=4773 ms  Bits=65  FRAME: 0x55 0x40 0x95 0x2A 0x88 0x12 0x94 0x00 | STATE=NORMAL
